SoloSlotList = {

	[1] = {
				[1] = { 0.545,-0.592,0.593726368},
				[2] = { 0.60486316,-0.58501907,0.54027146},
				[3] = { 0.51,-0.67,0.539444158},
				[4] = { 0.545,-0.605,0.580473944},
				[5] = { 0.57,-0.65,0.502593275},
				},
				
	[2] = {		
				[1] = { 0.04,0.9,0.434050688},
				[2] = { 0.07,0.94,0.333916157},
				[3] = { -0.05,0.915,0.400343602},
				[4] = { 0.06,0.91,0.41024383},
				[5] = { 0.1,0.91,0.402367991},
				},
	[3] = {		
				[1] = { 0.73,-0.68,-0.068556546},
				[2] = { 0.67,-0.74,-0.059160798},
				[3] = { 0.65,-0.73,-0.211187121},
				[4] = { 0.61,-0.75,-0.255734237},
				[5] = { 0.665,-0.73,-0.157718103},
				},
	[4] = {		
				[1] = { -0.6,-0.8,0.0},
				[2] = { -0.59,-0.8,0.109087121},
				[3] = { -0.65,-0.75,0.122474487},
				[4] = { -0.6,-0.79,0.126095202},
				[5] = { -0.67,-0.74,0.059160798},
				[6] = { -0.623244779,-0.777552972,0.083530353},
				[7] = { -0.63,-0.76,0.09},
				},
	[5] = {		
				[1] = { -0.7935,0.435,0.425596934},
				[2] = { -0.875,0.4,0.272717803},
				[3] = { -0.78,0.495,0.382851146},
				[4] = { -0.81,0.464,0.358613999},
				[5] = { -0.86,0.38,0.340587727},
				[6] = { -0.85,0.42,0.32},
				--[7] = { -0.82,0.39,0.33},

				},
	[6] = {		
				[1] = { 0.86,0.46,0.22090722},
				[2] = { 0.853,0.5,0.149636226},
				[3] = { 0.83,0.475,0.292361078},
				[4] = { 0.865,0.39,0.315713478},
				[5] = { 0.82,0.46,0.340587727},
				},

}
